timestamp,cpu,gpu,memory,disk_io,network_io,source,workload_label,cpu_temp,gpu_temp,fan_speed,ambient_temp,event_overheating,event_thermal_spike,stabilization_success,throttling_avoided,cooling_overreaction,cooling_efficiency_score,thermal_stability_score,future_risk
2026-05-09 19:09:32.000,3.604717079754431,1.7420479067589363,37.488138517864094,6016665.290579663,0.0,cpu_stress,cpu_heavy,34.583524254357506,34.57026980395083,25.0,25.304717079754433,0,0,0,0,0,75.0,100.0,0.0
2026-05-09 19:09:42.000,1.4600158937595045,1.700514109208385,37.84956174199955,268318.77882446605,375.7906362323248,cpu_stress,cpu_heavy,33.96870239260025,33.78871383450749,30.0,25.304717079754433,0,0,0,0,0,70.0,86.03622168799404,0.0
2026-05-09 19:09:52.000,4.450451195806457,0.0,36.76386469208316,184600.79598720957,1014.4649986959439,cpu_stress,cpu_heavy,33.53568576624626,32.85129023829188,30.0,25.304717079754433,0,0,0,0,0,70.0,86.29559777430401,0.0
2026-05-09 19:10:02.000,3.6405647163912143,0.42848292865583376,37.05735091880623,397641.9092289697,0.0,cpu_stress,cpu_heavy,33.12827772158351,32.09009051451642,30.0,25.304717079754433,0,0,0,0,0,70.0,88.31392231561786,0.0
2026-05-09 19:10:12.000,0.6489648113461637,4.234646187704759,37.51457664768956,205151.73024313684,429.38242072297584,cpu_stress,cpu_heavy,32.264079258643214,32.26499772485032,30.0,25.304717079754433,0,0,0,0,0,70.0,89.60894326725807,0.0
2026-05-09 19:10:22.000,0.49782049313768195,0.0,37.1328000741713,204710.6703647815,475.09243137351825,cpu_stress,cpu_heavy,31.637082962121216,31.492049362355697,30.0,25.304717079754433,0,0,0,0,0,70.0,86.00055340983381,0.0
2026-05-09 19:10:32.000,3.027840403167285,0.3484740047606423,37.73366690603874,488863.38960762613,54.2671509530706,cpu_stress,cpu_heavy,31.49475816446803,30.91551388188169,30.0,25.304717079754433,0,0,0,0,0,70.0,92.81139721872808,0.0
2026-05-09 19:10:42.000,2.9837574076564177,0.4246844532057544,36.312038320906545,242586.1874286133,154.85722972683257,cpu_stress,cpu_heavy,31.163107927840247,30.408916609092838,30.0,25.304717079754433,0,0,0,0,0,70.0,91.61752490583365,0.0
2026-05-09 19:10:52.000,2.483198842495711,0.0,36.154999116026936,309586.02414063876,1103.1181702791914,cpu_stress,cpu_heavy,30.78355971914609,29.92509129193766,30.0,25.304717079754433,0,0,0,0,0,70.0,91.36626474150667,0.0
2026-05-09 19:11:02.000,1.74695607242642,4.302041155100324,37.384843258311356,421208.75013183954,178.77822150953358,cpu_stress,cpu_heavy,30.426980163299564,30.249531374838675,30.0,25.304717079754433,0,0,0,0,0,70.0,93.1898036125246,0.0
2026-05-09 19:11:12.000,3.079397974862829,0.7809315781091883,37.332903607466385,59476.16575334039,685.5439424745742,cpu_stress,cpu_heavy,30.247103439731536,29.97415262327848,30.0,25.304717079754433,0,0,0,0,0,70.0,95.44744524871777,0.0
2026-05-09 19:11:22.000,3.777791935428948,0.0,36.903374996584084,249701.00292989812,1193.6015401621778,cpu_stress,cpu_heavy,30.244772009521558,29.408343060187473,30.0,25.304717079754433,0,0,0,0,0,70.0,94.31859006699014,0.0
2026-05-09 19:11:32.000,2.8660306975612158,2.588462745423815,37.50019720002286,402418.155181959,674.3050401597047,cpu_stress,cpu_heavy,30.086177106972993,29.519660418019072,30.0,25.304717079754433,0,0,0,0,0,70.0,97.30087739619836,0.0
2026-05-09 19:11:42.000,3.9272412069680325,1.6744316823952952,37.57260348881571,95044.92819927295,96.95733996978703,cpu_stress,cpu_heavy,30.176284171406127,29.42374636177209,30.0,25.304717079754433,0,0,0,0,0,70.0,98.13978879319883,0.0
2026-05-09 19:11:52.000,2.267509342252046,4.351570782962459,36.79306839707413,372957.96620035445,599.8142638244206,cpu_stress,cpu_heavy,30.013877158779735,30.046893998865652,30.0,25.304717079754433,0,0,0,0,0,70.0,92.14445350280045,0.0
2026-05-09 19:12:02.000,2.4407075371167615,0.0,36.64657581247535,592787.0404318173,0.0,cpu_stress,cpu_heavy,29.81191585885795,29.464545911018043,30.0,25.304717079754433,0,0,0,0,0,70.0,92.15690612230605,0.0
2026-05-09 19:12:12.000,3.368750784082499,0.0,36.99486308959931,113994.80281340587,1286.104768570105,cpu_stress,cpu_heavy,29.731044940385946,29.060243024174067,30.0,25.304717079754433,0,0,0,0,0,70.0,95.1482619468402,0.0
